property_id,boro_block_lot,address,metro_area,neighborhood,building_classification,property_type,sq_footage,revenue,net_income,expenses,report_year
1013730001,1-01373-0001,40 RIVER ROAD,UPPER EAST SIDE (59-79) / Manhattan,UPPER EAST SIDE (59-79),D4 -ELEVATOR,multifamily,4786701,213247530.0,132304416.0,80943114.0,2022
2051410120,2-05141-0120,2049 BARTOW AVENUE,CO-OP CITY / Bronx,CO-OP CITY,D4 -ELEVATOR,multifamily,13540113,207163729.0,77855650.0,129308079.0,2022
4124950002,4-12495-0002,163-15 BAISLEY BOULEVARD,SPRINGFIELD GARDENS / Queens,SPRINGFIELD GARDENS,D4 -ELEVATOR,multifamily,6940450,124858696.0,60243106.0,64615590.0,2022
2051350051,2-05135-0051,120 ERSKINE PLACE,CO-OP CITY / Bronx,CO-OP CITY,D4 -ELEVATOR,multifamily,5541031,87492879.0,35407188.0,52085691.0,2022
1000940001,1-00094-0001,80 GOLD STREET,SOUTHBRIDGE / Manhattan,SOUTHBRIDGE,D4 -ELEVATOR,multifamily,2163399,68233604.0,43549222.0,24684383.0,2022
1002899001,1-00289-9001,1 BOWERY,CHINATOWN / Manhattan,CHINATOWN,D4 -ELEVATOR,multifamily,1217600,64447568.0,31584544.0,32863024.0,2022
1003110013,1-00311-0013,357 GRAND STREET,LOWER EAST SIDE / Manhattan,LOWER EAST SIDE,D4 -ELEVATOR,multifamily,1025341,54271299.0,19532746.0,34738553.0,2022
1002630008,1-00263-0008,453 FDR DRIVE,LOWER EAST SIDE / Manhattan,LOWER EAST SIDE,D4 -ELEVATOR,multifamily,923000,48854390.0,19050720.0,29803670.0,2022
1013700015,1-01370-0015,425 EAST 58 STREET,MIDTOWN EAST / Manhattan,MIDTOWN EAST,D4 -ELEVATOR,multifamily,988829,44971943.0,28656264.0,16315679.0,2022
1013670001,1-01367-0001,400 EAST 56 STREET,MIDTOWN EAST / Manhattan,MIDTOWN EAST,D4 -ELEVATOR,multifamily,967300,43683268.0,28796521.0,14886747.0,2022
1014030033,1-01403-0033,150 EAST 69TH STREET,UPPER EAST SIDE (59-79) / Manhattan,UPPER EAST SIDE (59-79),D4 -ELEVATOR,multifamily,914921,42690214.0,27228049.0,15462165.0,2022
1011250024,1-01125-0024,15 WEST 72 STREET,UPPER WEST SIDE (59-79) / Manhattan,UPPER WEST SIDE (59-79),D4 -ELEVATOR,multifamily,667517,38669260.0,25338945.0,13330314.0,2022
1003150001,1-00315-0001,409 GRAND STREET,LOWER EAST SIDE / Manhattan,LOWER EAST SIDE,D4 -ELEVATOR,multifamily,1054290,37427295.0,20221282.0,17206013.0,2022
1009290001,1-00929-0001,401 1 AVENUE,KIPS BAY / Manhattan,KIPS BAY,D4 -ELEVATOR,multifamily,927591,36983053.0,21696353.0,15286700.0,2022
1004320001,1-00432-0001,66 1 AVENUE,EAST VILLAGE / Manhattan,EAST VILLAGE,D4 -ELEVATOR,multifamily,780062,36826727.0,20453226.0,16373501.0,2022
1005550001,1-00555-0001,772 BROADWAY,GREENWICH VILLAGE-CENTRAL / Manhattan,GREENWICH VILLAGE-CENTRAL,D4 -ELEVATOR,multifamily,718220,35192780.0,20009609.0,15183171.0,2022
3072680001,3-07268-0001,2885 WEST 12 STREET,CONEY ISLAND / Brooklyn,CONEY ISLAND,D4 -ELEVATOR,multifamily,1736700,35029239.0,18217983.0,16811256.0,2022
1019780001,1-01978-0001,100 LA SALLE STREET,MORNINGSIDE HEIGHTS / Manhattan,MORNINGSIDE HEIGHTS,D4 -ELEVATOR,multifamily,1288976,33796951.0,18960837.0,14836114.0,2022
1010300029,1-01030-0029,200 CENTRAL PARK SOUTH,MIDTOWN WEST / Manhattan,MIDTOWN WEST,D4 -ELEVATOR,multifamily,564196,31713457.0,19662231.0,12051227.0,2022
